Soft Label	Title	URL
Federal Task Force on AI	ai-report-core-messaging-handout.pdf (ed.gov)	https://tech.ed.gov/files/2023/05/ai-report-core-messaging-handout.pdf
Federal Task Force on AI	Strengthening and Democratizing the U.S. Artificial Intelligence Innovation Ecosystem: An Implementation Plan for a National Artificial Intelligence Research Resource (ai.gov)	https://www.ai.gov/wp-content/uploads/2023/01/NAIRR-TF-Final-Report-2023.pdf
Federal Task Force on AI	Report of the NEA Task Force on Artificial Intelligence in Education	https://www.nea.org/sites/default/files/2024-06/report_of_the_nea_task_force_on_artificial_intelligence_in_education_ra_2024.pdf
Frameworks for incorporating generative AI	SAMR AI - EdTechFocus	https://edtechfocus.com/samr-ai.html
Frameworks for incorporating generative AI	TPACK in the age of ChatGPT and Generative AI (punyamishra.com)	https://punyamishra.com/wp-content/uploads/2023/08/TPACK-in-the-age-of-ChatGPT-and-Generative-AI.pdf
Frameworks for incorporating generative AI	SAMR and TPACK: Two models to help with integrating technology into your courses | Resource Library | Taylor Institute for Teaching and Learning | University of Calgary (ucalgary.ca)	https://taylorinstitute.ucalgary.ca/resources/SAMR-TPACK
Fraud in Higher Education	Financial aid fraud persists at California’s community colleges - CalMatters	https://calmatters.org/education/higher-education/2024/04/financial-aid-fraud/
Fraud in Higher Education	Academic Integrity in the Age of AI | EDUCAUSE Review	https://er.educause.edu/articles/sponsored/2023/11/academic-integrity-in-the-age-of-ai
Fraud in Higher Education	Paper mills research report with recommendations (publicationethics.org)	https://publicationethics.org/files/paper-mills-cope-stm-research-report.pdf
Fraud in Higher Education	Professors proceed with caution using AI-detection tools (insidehighered.com)	https://www.insidehighered.com/news/tech-innovation/artificial-intelligence/2024/02/09/professors-proceed-caution-using-ai
Fraud in Higher Education	Fake scientific papers are alarmingly common | Science | AAAS	https://www.science.org/content/article/fake-scientific-papers-are-alarmingly-common
Generative AI Adoption (HR focus)	SHRM Webcast - From Frustration to Flourishing: Mastering Generative AI Adoption (youtube.com)	https://www.youtube.com/watch?v=lZESKXz25y0
Impact in Writing Education	View article (google.com)	https://scholar.google.com/citations?view_op=view_citation&hl=en&user=0CQMPB0AAAAJ&citation_for_view=0CQMPB0AAAAJ:HDshCWvjkbEC
Learning Assistant/Tutoring	Coconote: AI note taker	https://coconote.app/
Learning Assistant/Tutoring	Gizmo | The easiest way to learn	https://gizmo.ai/
Learning Assistant/Tutoring	AI Course Creator | Faster and more engaging eLearning (coursebox.ai)	https://www.coursebox.ai/?r=0
Learning Assistant/Tutoring	Meet Khanmigo: Khan Academy's AI-powered teaching assistant & tutor	https://www.khanmigo.ai/
Learning Assistant/Tutoring	Kyron Learning | Interactive Video	https://www.kyronlearning.com/
News Analysis	Breaking News Headlines and Media Bias | Ground News	https://ground.news/?fc=false
News Analysis	Verity - Headlines (improvethenews.org)	https://www.improvethenews.org/
Other Articles	Computing Education in the Era of Generative AI – Communications of the ACM	https://cacm.acm.org/research/computing-education-in-the-era-of-generative-ai/
Other Articles	Humanity Amplified:  (designingschools.org)	https://designingschools.org/deep-learning-paper
Other Articles	Frontiers | A review of integrating AI-based chatbots into flipped learning: new possibilities and challenges (frontiersin.org)	https://www.frontiersin.org/journals/education/articles/10.3389/feduc.2023.1175715/full
Other Articles	Frontiers | The impact of ChatGPT on higher education (frontiersin.org)	https://www.frontiersin.org/journals/education/articles/10.3389/feduc.2023.1206936/full
Other Articles	Frontiers | Editorial: Impact and implications of AI methods and tools for the future of education (frontiersin.org)	https://www.frontiersin.org/journals/education/articles/10.3389/feduc.2024.1434052/full
Other Articles	Impact and implications of AI methods and tools for the future of education | Frontiers Research Topic (frontiersin.org)	https://www.frontiersin.org/research-topics/51241/impact-and-implications-of-ai-methods-and-tools-for-the-future-of-education/articles
